Year	Month	Day	Wday	D1	D2	s	week	Weather	Rain_val	rain	Event.flag	Head.count	Event_val	event	trend	ar	sale.hidden	Sale
2012	1	1	0	0	0	-5.058226442	-5.058226442	1	0	0	0	0	0	0	60.81145	-12.33974	43.41348356	39.2248985
2012	1	2	1	1	0	12.33299009	-5.058226442	1	0	0	1	7800	0	0	60.90692	-11.21795	44.63074356	44.04268816
2012	1	3	2	1	0	-5.064916854	-5.058226442	1	0	0	0	0	0	0	61.05012	-0.4807692	55.51112436	51.8035115
2012	1	4	3	0	0	-5.382134786	-5.382134786	2	0.1	1.17	1	19400	0.745389009	37.82849221	61.43198	-0.1602564	94.88808102	92.84634618
2012	1	5	4	0	0	13.22417215	13.22417215	1	0	0	1	32000	0.943871177	48.13743005	61.62291	4.967949	127.9524612	126.0636074
2012	1	6	5	0	0	18.93922154	18.93922154	3	0.5	5.85	0	0	0	0	61.81384	6.730769	93.33383054	99.9756641
2012	1	7	6	0	0	-24.70014707	-24.70014707	2	0.1	1.17	0	0	0	0	62.19571	5.929487	44.59504993	48.17723146
2012	1	8	0	0	0	-10.46681304	-10.46681304	1	0	0	1	3900	0	0	62.38663	3.365385	55.28520196	54.12375602
2012	1	9	1	1	0	13.0145018	-10.46681304	1	0	0	0	0	0	0	62.7685	0.4807692	52.78245616	46.65132166
2012	1	10	2	0	0	3.276624883	3.276624883	1	0	0	0	0	0	0	62.95943	-2.884615	63.35143988	68.58913034
2012	1	11	3	0	0	-5.219827956	-5.219827956	1	0	0	1	21300	0.797299296	41.85821306	63.34129	-4.647436	95.3322391	88.15020317
2012	1	12	4	0	0	2.786885192	2.786885192	1	0	0	0	0	0	0	63.53222	-8.173077	58.14602819	52.23368355
2012	1	13	5	0	0	10.98228565	10.98228565	1	0	0	1	22400	0.822365842	43.58538962	63.72315	-10.25641	108.0344153	104.1533911
2012	1	14	6	0	0	-15.96076714	-15.96076714	1	0	0	0	0	0	0	64.10501	-8.333333	39.81090986	34.94934231
2012	1	15	0	0	0	-8.90549354	-8.90549354	1	0	0	0	0	0	0	64.29594	-4.967949	50.42249746	45.90420965
2012	1	16	1	0	0	9.003887122	9.003887122	2	0.1	1.17	1	11500	0.342955339	18.43384945	64.6778	-3.365385	89.92015157	96.3561713
2012	1	17	2	0	0	-0.017496888	-0.017496888	1	0	0	0	0	0	0	64.86874	-1.442308	63.40893511	62.87799711
2012	1	18	3	0	0	3.557565982	3.557565982	2	0.1	1.17	0	0	0	0	65.2506	-1.76282	68.21534598	64.63599121
2012	1	19	4	0	0	4.812160755	4.812160755	5	1	11.7	0	0	0	0	65.44153	-4.166667	77.78702375	81.14563474
2012	1	20	5	0	0	14.75270704	14.75270704	1	0	0	1	11700	0.358536836	19.62989175	65.58472	-6.089744	93.87757479	94.86574292
2012	1	21	6	0	0	-14.11312526	-14.11312526	1	0	0	1	11500	0.342955339	18.86254362	65.96659	-2.724359	67.99164937	61.89116574
2012	1	22	0	0	0	-7.225340385	-7.225340385	1	0	0	1	9400	0.154647139	8.544254407	66.10979	-0.3205128	67.10819122	64.30336562
2012	1	23	1	0	0	9.91311252	9.91311252	5	1	11.7	1	12200	0.395893109	21.97206753	66.44392	5.288462	115.3175621	117.9862252
2012	1	24	2	0	0	1.839993495	1.839993495	1	0	0	1	8800	0.09153656	5.103163221	66.58711	7.051282	80.58154872	90.33312604
